id_curriculo;codigo;nome_matriz;id_curso;nome_curso;semestre_conclusao_minimo;semestre_conclusao_ideal;semestre_conclusao_maximo;meses_conclusao_minimo;meses_conclusao_ideal;meses_conclusao_maximo;cr_total_minimo;ch_total_minima;ch_optativas_minima;max_eletivos;ch_nao_atividade_obrigatoria;cr_nao_atividade_obrigatorio;ch_atividade_obrigatoria;cr_minimo_semestre;cr_maximo_semestre;ch_minima_semestre;ch_maxima_semestre;periodo_entrada_vigor;ano_entrada_vigor;observacao
170;1589/-4;QUÍMICA TECNOLÓGICA - BRASÍLIA -  - MT - Bacharel;414873;QUÍMICA TECNOLÓGICA;8;13;18;;;;0;3300;1680;360;1620;0;0;;;240;420;1;2010;
69;6220/-3;ENGENHARIA CIVIL - BRASÍLIA -  - MT - Engenheiro Civil;414350;ENGENHARIA CIVIL;8;13;18;;;;0;3930;1320;360;2610;0;0;;;240;510;1;2005;
267;3344/-3;FILOSOFIA - BRASÍLIA -  - MT - Licenciado;414714;FILOSOFIA;8;11;14;;;;0;3030;900;360;1920;0;0;;;210;390;2;2013;
327;2321/-3;CIÊNCIAS AMBIENTAIS - BRASÍLIA -  - N - Bacharel;414667;CIÊNCIAS AMBIENTAIS;7;11;14;;;;4;2190;990;360;1200;4;0;;;210;390;2;2014;
317;2739/-3;PSICOLOGIA - BRASÍLIA -  - MT - Psicólogo;414962;PSICOLOGIA;10;10;16;;;;42;4230;2700;360;1530;42;0;;;270;450;1;2016;
404;60828/1;TEORIA, CRÍTICA E HISTÓRIA DA ARTE - BRASÍLIA -  - N - Bacharel;414435;TEORIA, CRÍTICA E HISTÓRIA DA ARTE;8;10;12;;;;0;2610;1680;360;930;0;0;;;240;360;1;2017;
346;9636/-2;EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA - BRASÍLIA -  - MT - Licenciado;414881;EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA;8;10;12;;;;0;3525;720;360;2595;0;0;;;300;495;1;2015;
477;5649/-4;ARTES VISUAIS - BRASÍLIA -  - MT - Bacharel;414552;ARTES VISUAIS;8;10;12;;;;0;2790;1470;360;1320;0;0;;;240;360;1;2013;
318;2739/-4;PSICOLOGIA - BRASÍLIA -  - MT - Psicólogo;414962;PSICOLOGIA;10;10;16;;;;52;4230;2550;360;1680;52;0;;;270;450;1;2014;
375;1228/1;GEOLOGIA - BRASÍLIA -  - MT - Geólogo;414677;GEOLOGIA;10;13;16;;;;0;3960;945;360;3015;0;0;;;270;450;2;2016;
48;3417/-10;HISTÓRIA                                                               - BRASÍLIA -  - MT - Bacharel;702700;HISTÓRIA                                                              ;6;10;14;;;;0;2520;1320;360;1200;0;0;;;180;450;2;2010;
282;5614/1;MÚSICA - COMPOSIÇÃO - BRASÍLIA -  - MT - Bacharel;414473;MÚSICA - COMPOSIÇÃO;12;14;16;;;;0;3330;1200;360;2130;0;0;;;210;360;2;2013;
50;3425/-9;HISTÓRIA - BRASÍLIA -  - MT - Licenciado;414745;HISTÓRIA;6;10;14;;;;0;2520;930;360;1590;0;0;;;180;450;1;2012;
278;5550/1;MÚSICA - OBOÉ - BRASÍLIA -  - MT - Bacharel;414495;MÚSICA - OBOÉ;6;8;10;;;;0;2070;330;360;1740;0;0;;;210;360;2;2013;
271;5274/1;MÚSICA - SAXOFONE - BRASÍLIA -  - MT - Bacharel;414509;MÚSICA - SAXOFONE;6;8;10;;;;0;2070;330;360;1740;0;0;;;210;360;2;2013;
269;5258/1;MÚSICA - TROMPETE - BRASÍLIA -  - MT - Bacharel;414523;MÚSICA - TROMPETE;6;8;10;;;;0;2070;330;360;1740;0;0;;;210;360;2;2013;
276;5525/1;MÚSICA - VIOLA - BRASÍLIA -  - MT - Bacharel;414528;MÚSICA - VIOLA;6;8;10;;;;0;2070;330;360;1740;0;0;;;210;360;2;2013;
275;5517/1;MÚSICA - VIOLINO - BRASÍLIA -  - MT - Bacharel;414538;MÚSICA - VIOLINO;6;8;10;;;;0;2070;330;360;1740;0;0;;;210;360;2;2013;
277;5533/1;MÚSICA - VIOLONCELO - BRASÍLIA -  - MT - Bacharel;414543;MÚSICA - VIOLONCELO;6;8;10;;;;0;2070;330;360;1740;0;0;;;210;360;2;2013;
272;5282/1;MÚSICA - VIOLÃO - BRASÍLIA -  - MT - Bacharel;414533;MÚSICA - VIOLÃO;6;8;10;;;;0;2070;450;360;1620;0;0;;;210;360;2;2013;
270;5266/1;MÚSICA - CONTRABAIXO - BRASÍLIA -  - MT - Bacharel;414479;MÚSICA - CONTRABAIXO;6;8;10;;;;0;2070;330;360;1740;0;0;;;210;360;2;2013;
279;5576/1;MÚSICA - FAGOTE - BRASÍLIA -  - MT - Bacharel;414484;MÚSICA - FAGOTE;6;8;10;;;;0;2070;330;360;1740;0;0;;;210;360;2;2013;
280;5584/1;MÚSICA - FLAUTA - BRASÍLIA -  - MT - Bacharel;414489;MÚSICA - FLAUTA;6;8;10;;;;0;2070;330;360;1740;0;0;;;210;360;2;2013;
470;5665/1;ARTES VISUAIS - BRASÍLIA -  - N - Licenciado;414551;ARTES VISUAIS;8;12;16;;;;0;3210;1410;360;1800;0;0;;;210;450;2;2019;
146;5371/-5;ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL - BRASÍLIA -  - MT - Bacharel;414436;ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL;7;10;12;;;;0;2880;1260;360;1620;0;0;;;240;450;1;2016;
147;5371/-6;ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL - BRASÍLIA -  - MT - Bacharel;414436;ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL;7;10;12;;;;0;2880;1260;360;1620;0;0;;;240;450;1;2012;
115;1856/-6;CIÊNCIA DA COMPUTAÇÃO - BRASÍLIA -  - MT - Bacharel;414599;CIÊNCIA DA COMPUTAÇÃO;8;9;14;;;;0;3210;1140;360;2070;0;0;;;225;480;1;2012;
250;3425/-7;HISTÓRIA - BRASÍLIA -  - MT - Licenciado;414745;HISTÓRIA;7;12;16;;;;0;2955;720;360;2025;0;0;;;240;480;1;2015;
4005586;3425/1;HISTÓRIA - BRASÍLIA -  - MT - Licenciado;414745;HISTÓRIA;8;9;16;;;;0;3405;960;540;2235;0;0;;;210;420;1;2020;
185;7412/-2;ENFERMAGEM - BRASÍLIA -  - MT - Enfermeiro;414295;ENFERMAGEM;10;10;15;;;;0;4020;1650;360;2370;0;0;;;270;435;2;2010;
281;5592/1;MÚSICA - PIANO - BRASÍLIA -  - MT - Bacharel;414500;MÚSICA - PIANO;6;8;10;;;;0;2070;390;360;1680;0;0;;;210;360;2;2013;
283;5631/1;MÚSICA - TROMBONE - BRASÍLIA -  - MT - Bacharel;414513;MÚSICA - TROMBONE;6;8;10;;;;0;2070;330;360;1740;0;0;;;210;360;2;2013;
6;5541/1;MÚSICA - CLARINETA - BRASÍLIA -  - MT - Bacharel;414469;MÚSICA - CLARINETA;6;8;10;;;;6;2070;330;360;1740;6;0;;;210;360;2;2007;
430398;9636/1;EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA - BRASÍLIA -  - MT - Licenciado;414881;EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA;8;10;12;;;;4;3510;735;360;2565;4;0;;;300;495;1;2019;
87;5223/1;MÚSICA - CANTO - BRASÍLIA -  - MT - Bacharel;414465;MÚSICA - CANTO;6;8;10;;;;6;2070;330;360;1740;6;0;;;210;360;2;2007;
430;5371/-3;ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL - BRASÍLIA -  - MT - Bacharel;414436;ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL;7;10;12;;;;0;2880;1260;360;1620;0;0;;;240;450;2;2017;
88;5223/-2;MÚSICA - CANTO - BRASÍLIA -  - MT - Bacharel;414465;MÚSICA - CANTO;6;8;10;;;;0;2070;420;360;1650;0;0;;;210;360;2;2006;
433;5622/1;MÚSICA - REGÊNCIA - BRASÍLIA -  - MT - Bacharel;414504;MÚSICA - REGÊNCIA;12;14;16;;;;0;3330;1080;360;2250;0;0;;;210;360;2;2017;
4005589;7072/1;ENFERMAGEM - BRASÍLIA -  - MT - Enfermeiro;414902;ENFERMAGEM;10;10;16;;;;0;4230;2310;360;1770;0;0;;;240;450;1;2020;
4005588;5711/1;ARTES CÊNICAS - BRASÍLIA -  - MT - Licenciado;414437;ARTES CÊNICAS;8;8;14;;;;45;3255;1230;360;1815;45;0;;;240;420;1;2020;
478;5657/-3;ARTES VISUAIS - BRASÍLIA -  - MT - Licenciado;414553;ARTES VISUAIS;8;10;12;;;;0;2730;1140;360;1590;0;0;;;240;360;1;2016;
431472;6271/2;TURISMO - BRASÍLIA -  - MT - Bacharel;414088;TURISMO;8;12;16;;;;0;2640;810;360;1800;0;0;;;1800;0;2;2019;
298;5649/-3;ARTES VISUAIS - BRASÍLIA -  - MT - Bacharel;414552;ARTES VISUAIS;8;10;12;;;;0;2790;1470;360;1320;0;0;;;240;360;1;2014;
160;4626/-2;LETRAS - TRADUÇÃO - ESPANHOL - BRASÍLIA -  - N - Bacharel;414775;LETRAS - TRADUÇÃO - ESPANHOL;7;11;14;;;;0;2520;750;360;1770;0;0;;;180;390;2;2009;
91;5444/1;EDUCAÇÃO ARTÍSTICA - MÚSICA - BRASÍLIA -  - MT - Licenciado;414453;EDUCAÇÃO ARTÍSTICA - MÚSICA;6;9;14;;;;0;2970;990;360;1980;0;0;;;210;495;1;2009;
297;5649/-2;ARTES VISUAIS - BRASÍLIA -  - MT - Bacharel;414552;ARTES VISUAIS;8;10;12;;;;0;2790;1470;360;1320;0;0;;;240;360;1;2016;
467;1376/1;ARTES VISUAIS - BRASÍLIA -  - MT - Licenciado;414544;ARTES VISUAIS;8;11;14;;;;0;3210;1410;360;1800;0;0;;;240;450;2;2019;
129;7153/-3;SAÚDE COLETIVA - BRASÍLIA -  - MT - Bacharel;414912;SAÚDE COLETIVA;8;11;14;;;;0;3210;510;360;2700;0;0;;;240;450;2;2012;
341;7072/-3;ENFERMAGEM - BRASÍLIA -  - MT - Enfermeiro;414902;ENFERMAGEM;10;12;14;;;;0;4230;2400;360;1830;0;0;;;240;450;1;2015;
118;4910/-2;LETRAS - LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA - BRASÍLIA -  - MT - Licenciado;414772;LETRAS - LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA;9;13;16;;;;0;3240;30;360;3210;0;0;;;150;420;1;2013;
242;7315/-3;EDUCAÇÃO FÍSICA - BRASÍLIA -  - MT - Licenciado;414274;EDUCAÇÃO FÍSICA;6;8;10;;;;2;2820;960;360;1650;2;0;;;300;480;2;2012;
18;9229/-5;PEDAGOGIA - BRASÍLIA -  - MT - Licenciado;414229;PEDAGOGIA;6;10;14;;;;0;3210;1170;360;2040;0;0;;;180;450;1;2007;
406;2712/1;PSICOLOGIA - BRASÍLIA -  - MT - Bacharel;414960;PSICOLOGIA;8;8;14;;;;40;3420;1920;360;1500;40;0;;;255;450;2;2017;
19;9229/-6;PEDAGOGIA - BRASÍLIA -  - MT - Licenciado;414229;PEDAGOGIA;6;10;14;;;;0;3210;1140;360;2070;0;0;;;180;450;2;2001;
