id_curso,nome,id_coordenador,coordenador,situacao_curso,nivel_ensino,grau_academico,modalidade_educacao,area_conhecimento,tipo_oferta,turno,tipo_ciclo_formacao,municipio,campus,id_unidade_responsavel,unidade_responsavel,website,data_funcionamento,codigo_inep,dou,portaria_reconhecimento,convenio_academico,nome_curso_norm,turno_norm,campus_norm,grau_academico_norm,area_conhecimento_norm,unidade_responsavel_norm
414221,DIREITO,6985,Carllay Tanji Bombim,ATIVO,,Bacharel,Presencial,Ciências Sociais Aplicadas,Semestral,Noturno,Um ciclo,BRASÍLIA,DARCY RIBEIRO,370,FACULDADE DE DIREITO,,2017-07-24,165,2017-07-24,763,,DIREITO,NOTURNO,DARCY RIBEIRO,BACHAREL,CIENCIAS SOCIAIS APLICADAS,FACULDADE DE DIREITO
414453,EDUCAÇÃO ARTÍSTICA - MÚSICA,,,INATIVO,,Licenciado,Presencial,"Lingüística, Letras e Artes",Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,495,DEPTO MÚSICA,,2006-08-21,27860,1980-06-10,000371,,EDUCACAO ARTISTICA - MUSICA,MATUTINO E VESPERTINO,DARCY RIBEIRO,LICENCIADO,"LINGUISTICA, LETRAS E ARTES",DEPTO MUSICA
414881,EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA,5270,FELIPE CANOVA GONCALVES,ATIVO,,Licenciado,Presencial,Ciências Humanas,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,FACULDADE DE PLANALTINA,666,FACULDADE DE PLANALTINA,,2015-03-02,112176,2016-07-11,301,,EDUCACAO DO CAMPO - CIENCIAS DA NATUREZA,MATUTINO E VESPERTINO,FACULDADE DE PLANALTINA,LICENCIADO,CIENCIAS HUMANAS,FACULDADE DE PLANALTINA
414882,EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA E MATEMÁTICA,5270,FELIPE CANOVA GONCALVES,ATIVO,,Licenciado,Presencial,Ciências Humanas,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,FACULDADE DE PLANALTINA,666,FACULDADE DE PLANALTINA,,2007-08-27,112176,2007-12-13,40,,EDUCACAO DO CAMPO - CIENCIAS DA NATUREZA E MATEMATICA,MATUTINO E VESPERTINO,FACULDADE DE PLANALTINA,LICENCIADO,CIENCIAS HUMANAS,FACULDADE DE PLANALTINA
414885,"EDUCAÇÃO DO CAMPO - LINGUAGENS, ARTES E LITERATURA",5270,FELIPE CANOVA GONCALVES,ATIVO,,Licenciado,Presencial,Ciências Humanas,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,FACULDADE DE PLANALTINA,666,FACULDADE DE PLANALTINA,,2016-08-05,112176,2016-07-11,301,,"EDUCACAO DO CAMPO - LINGUAGENS, ARTES E LITERATURA",MATUTINO E VESPERTINO,FACULDADE DE PLANALTINA,LICENCIADO,CIENCIAS HUMANAS,FACULDADE DE PLANALTINA
414886,EDUCAÇÃO DO CAMPO - MATEMÁTICA,5270,FELIPE CANOVA GONCALVES,ATIVO,,Licenciado,Presencial,Outra,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,FACULDADE DE PLANALTINA,666,FACULDADE DE PLANALTINA,,2015-03-02,112176,2016-07-11,301,,EDUCACAO DO CAMPO - MATEMATICA,MATUTINO E VESPERTINO,FACULDADE DE PLANALTINA,LICENCIADO,OUTRA,FACULDADE DE PLANALTINA
414275,EDUCAÇÃO FÍSICA,890,Eurivaldo Laurencia Zanetini Desclov Urani,ATIVO,,Licenciado,A Distância,Outra,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,393,FACULDADE DE EDUCAÇÃO FÍSICA,,2014-03-03,112160,2013-05-31,244,,EDUCACAO FISICA,MATUTINO E VESPERTINO,DARCY RIBEIRO,LICENCIADO,OUTRA,FACULDADE DE EDUCACAO FISICA
414276,EDUCAÇÃO FÍSICA,14232,Kassedani Scardoelli Fachinetto,ATIVO,,Bacharel,Presencial,Ciências da Saúde,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,393,FACULDADE DE EDUCAÇÃO FÍSICA,,2015-12-14,1192413,2015-11-10,866,,EDUCACAO FISICA,MATUTINO E VESPERTINO,DARCY RIBEIRO,BACHAREL,CIENCIAS DA SAUDE,FACULDADE DE EDUCACAO FISICA
414274,EDUCAÇÃO FÍSICA,,,ATIVO,,Licenciado,Presencial,Ciências da Saúde,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,393,FACULDADE DE EDUCAÇÃO FÍSICA,,,142,2012-12-30,1096,,EDUCACAO FISICA,MATUTINO E VESPERTINO,DARCY RIBEIRO,LICENCIADO,CIENCIAS DA SAUDE,FACULDADE DE EDUCACAO FISICA
414295,ENFERMAGEM,3628,Gezilda Kunio Lunchinger Panhoca,ATIVO,,Enfermeiro,Presencial,Ciências da Saúde,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,422,DEPTO ENFERMAGEM,,2014-12-30,143,2015-01-02,822,,ENFERMAGEM,MATUTINO E VESPERTINO,DARCY RIBEIRO,ENFERMEIRO,CIENCIAS DA SAUDE,DEPTO ENFERMAGEM
414902,ENFERMAGEM,8466,Gina Zatoni Florence,ATIVO,,Enfermeiro,Presencial,Ciências da Saúde,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,FACULDADE DE CEILÂNDIA,672,FACULDADE DE CEILÂNDIA,,2020-02-19,112818,2015-01-02,822,,ENFERMAGEM,MATUTINO E VESPERTINO,FACULDADE DE CEILANDIA,ENFERMEIRO,CIENCIAS DA SAUDE,FACULDADE DE CEILANDIA
414915,ENGENHARIA,9157,Verhagen Dunningham Mincaroni Stefenoni Policastro,ATIVO,,Bacharel,Presencial,Outra,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,FACULDADE DO GAMA,673,FACULDADE DO GAMA,,2008-08-04,5000587,1900-01-01,0,,ENGENHARIA,MATUTINO E VESPERTINO,FACULDADE DO GAMA,BACHAREL,OUTRA,FACULDADE DO GAMA
414916,ENGENHARIA AEROESPACIAL,30701,RONNE TOLEDO,ATIVO,,Bacharel,Presencial,Engenharias,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,FACULDADE DO GAMA,673,FACULDADE DO GAMA,,2012-03-05,1269978,2007-12-13,40,,ENGENHARIA AEROESPACIAL,MATUTINO E VESPERTINO,FACULDADE DO GAMA,BACHAREL,ENGENHARIAS,FACULDADE DO GAMA
