curso,departamento,campus,turno,area_conhecimento,grau_academico,semestre_minimo_previsto,semestre_ideal_previsto,semestre_maximo_previsto,carga_horaria_minima,total_discentes_registrados,total_formados,total_evadidos_desligados,taxa_formatura_pct,taxa_evasao_pct,formados_tempo_minimo_pct,formados_tempo_ideal_pct,formados_acima_ideal_pct,formados_limite_maximo_pct,tempo_medio_real_semestres,tempo_mediano_real_semestres,desvio_medio_semestres,indice_retencao_critica,classificacao_retencao,pibic_total_projetos,pibic_bolsas_remuneradas,pibic_bolsas_voluntarias,pibic_cotistas,pibic_investimento_total,pibic_projetos_por_100_alunos
ENGENHARIA DE COMPUTACAO,DEPARTAMENTO DE CIENCIA DA COMPUTACAO,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS EXATAS E DA TERRA,BACHAREL,8.0,13.0,18.0,3780,524,160,260,30.53,49.62,4.38,70.0,30.0,6.25,12.6,12.0,-0.4,30.0,RETENÇÃO MÉDIA,84,62.0,21.0,21.0,315600.0,16.03
GEOFISICA,INSTITUTO DE GEOCIENCIAS,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS EXATAS E DA TERRA,BACHAREL,8.5,11.5,14.0,3450,450,94,221,20.89,49.11,14.89,60.64,39.36,14.89,10.95,11.0,-0.55,29.7,RETENÇÃO MÉDIA,84,47.0,31.0,22.0,240000.0,18.67
AGRONOMIA,FACULDADE DE AGRONOMIA E MEDICINA VETERINARIA,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS AGRARIAS,ENGENHEIRO AGRONOMO,8.0,11.0,14.0,3960,982,441,419,44.91,42.67,5.22,46.49,53.51,15.87,11.68,12.0,0.68,29.4,RETENÇÃO MÉDIA,407,315.0,58.0,172.0,1558800.0,41.45
ENGENHARIA DE REDES DE COMUNICACAO,FACULDADE DE TECNOLOGIA,DARCY RIBEIRO,MATUTINO E VESPERTINO,ENGENHARIAS,BACHAREL,10.0,15.0,20.0,3750,538,165,262,30.67,48.7,21.21,88.48,11.52,0.0,12.07,12.0,-2.93,29.4,RETENÇÃO MÉDIA,46,28.0,16.0,11.0,134400.0,8.55
SERVICO SOCIAL,DEPARTAMENTO DE SERVICO SOCIAL,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,8.0,9.0,16.0,3120,1044,553,381,52.97,36.49,19.89,40.33,59.67,2.89,10.19,10.0,1.19,28.1,RETENÇÃO MÉDIA,179,137.0,39.0,81.0,679200.0,17.15
ADMINISTRACAO,NAO CADASTRADO,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,8.0,10.0,16.0,3000,2183,1019,940,46.68,43.06,19.63,58.29,41.71,2.94,10.3,10.0,0.3,27.1,RETENÇÃO MÉDIA,116,88.0,26.0,50.0,447600.0,5.31
ENGENHARIA QUIMICA,INSTITUTO DE QUIMICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,ENGENHARIAS,BACHAREL,10.0,12.0,18.0,3960,397,156,181,39.29,45.59,23.08,70.51,29.49,0.64,11.82,12.0,-0.18,27.0,RETENÇÃO MÉDIA,157,113.0,29.0,50.0,585600.0,39.55
GESTAO DE POLITICAS PUBLICAS,"FACULD. DE ECONOMIA, ADMINISTRACAO E CONTABILIDADE",DARCY RIBEIRO,NOTURNO,CIENCIAS HUMANAS,BACHAREL,8.0,12.0,16.0,3000,667,301,303,45.13,45.43,23.59,87.04,12.96,2.99,10.0,10.0,-2.0,26.9,RETENÇÃO MÉDIA,44,34.0,8.0,21.0,177600.0,6.6
NUTRICAO,DEPARTAMENTO DE NUTRICAO,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS DA SAUDE,NUTRICIONISTA,6.0,9.0,14.0,3600,516,307,177,59.5,34.3,2.28,42.67,57.33,6.84,10.0,10.0,1.0,25.2,RETENÇÃO MÉDIA,122,99.0,15.0,44.0,504000.0,23.64
TERAPIA OCUPACIONAL,UNB - FACULDADE DA CEILANDIA,FACULDADE DE CEILANDIA,MATUTINO E VESPERTINO,CIENCIAS DA SAUDE,BACHAREL,8.0,10.0,12.0,3510,593,285,244,48.06,41.15,9.47,67.37,32.63,18.95,10.22,10.0,0.22,25.2,RETENÇÃO MÉDIA,109,80.0,21.0,53.0,398400.0,18.38
ODONTOLOGIA,DEPARTAMENTO DE ODONTOLOGIA,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS DA SAUDE,CIRURGIAO DENTISTA,10.0,10.0,18.0,4065,455,275,147,60.44,32.31,40.0,40.0,60.0,1.82,11.12,11.0,1.12,24.5,RETENÇÃO MÉDIA,246,174.0,48.0,117.0,853200.0,54.07
GESTAO DO AGRONEGOCIO,UNB - FACULDADE DE PLANALTINA,FACULDADE DE PLANALTINA,MATUTINO E VESPERTINO,CIENCIAS EXATAS E DA TERRA,BACHAREL,8.0,12.0,16.0,3000,521,231,219,44.34,42.03,22.08,89.18,10.82,0.87,9.94,10.0,-2.06,24.3,RETENÇÃO MÉDIA,27,19.0,6.0,9.0,91200.0,5.18
CIENCIAS SOCIAIS,INSTITUTO DE CIENCIAS SOCIAIS,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,6.0,10.0,14.0,2745,2216,1006,908,45.4,40.97,7.36,58.95,41.05,8.85,10.07,10.0,0.07,24.0,RETENÇÃO MÉDIA,217,164.0,48.0,102.0,794400.0,9.79
ENGENHARIA DE PRODUCAO,FACULDADE DE TECNOLOGIA,DARCY RIBEIRO,NOTURNO,ENGENHARIAS,BACHAREL,10.0,14.0,18.0,3600,699,313,291,44.78,41.63,12.14,81.47,18.53,2.56,12.76,13.0,-1.24,24.0,RETENÇÃO MÉDIA,49,40.0,9.0,18.0,195600.0,7.01
CIENCIAS CONTABEIS,DEPTO DE CIENCIAS CONTABEIS E ATUARIAIS,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,10.0,11.0,14.0,3000,1957,942,805,48.13,41.13,62.53,76.01,23.99,7.11,10.2,10.0,-0.8,23.7,RETENÇÃO BAIXA,106,56.0,42.0,44.0,268800.0,5.42
PEDAGOGIA,FACULDADE DE EDUCACAO,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS HUMANAS,LICENCIADO,6.0,10.0,14.0,3330,2140,1108,871,51.78,40.7,5.6,72.65,27.35,5.42,9.67,10.0,-0.33,23.3,RETENÇÃO BAIXA,238,175.0,53.0,127.0,865200.0,11.12
ENGENHARIA MECANICA,DEPARTAMENTO DE ENGENHARIA MECANICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,ENGENHARIAS,ENGENHEIRO MECANICO,8.0,13.0,18.0,3930,637,284,258,44.58,40.5,3.87,71.13,28.87,2.82,12.51,12.0,-0.49,23.2,RETENÇÃO BAIXA,153,119.0,24.0,38.0,589200.0,24.02
FARMACIA,FACULDADE DE CIENCIAS DA SAUDE,FACULDADE DE CEILANDIA,MATUTINO E VESPERTINO,CIENCIAS DA SAUDE,BACHAREL,10.0,12.0,18.0,4395,1503,708,599,47.11,39.85,25.56,74.29,25.71,0.71,11.59,11.0,-0.41,22.7,RETENÇÃO BAIXA,696,497.0,156.0,263.0,2446800.0,46.31
FONOAUDIOLOGIA,UNB - FACULDADE DA CEILANDIA,FACULDADE DE CEILANDIA,MATUTINO E VESPERTINO,CIENCIAS DA SAUDE,BACHAREL,8.0,8.0,14.0,3510,219,143,60,65.3,27.4,34.27,34.27,65.73,0.7,9.13,9.0,1.13,20.9,RETENÇÃO BAIXA,162,98.0,49.0,77.0,470400.0,73.97
GEOLOGIA,INSTITUTO DE GEOCIENCIAS,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS EXATAS E DA TERRA,GEOLOGO,8.0,12.0,16.0,3960,432,201,161,46.53,37.27,5.47,67.16,32.84,2.99,11.98,12.0,-0.02,20.8,RETENÇÃO BAIXA,255,168.0,57.0,87.0,882000.0,59.03
ENGENHARIA AMBIENTAL,DEPARTAMENTO DE ENGENHARIA CIVIL E AMBIENTAL,DARCY RIBEIRO,MATUTINO E VESPERTINO,ENGENHARIAS,ENGENHEIRO,10.0,14.0,18.0,3900,509,184,189,36.15,37.13,9.78,83.7,16.3,2.72,12.93,13.0,-1.07,20.7,RETENÇÃO BAIXA,125,98.0,17.0,35.0,470400.0,24.56
ENGENHARIA ELETRONICA,UNB - FACULDADE DO GAMA,FACULDADE DO GAMA,MATUTINO E VESPERTINO,ENGENHARIAS,BACHAREL,10.0,13.0,16.0,3855,375,186,136,49.6,36.27,16.67,67.74,32.26,11.83,12.56,12.0,-0.44,20.0,RETENÇÃO BAIXA,123,91.0,26.0,39.0,444000.0,32.8
CIENCIAS BIOLOGICAS,INSTITUTO DE CIENCIAS BIOLOGICAS,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS BIOLOGICAS,BACHAREL,8.0,11.0,14.0,3210,1521,843,541,55.42,35.57,13.88,69.4,30.6,9.61,10.55,10.0,-0.45,19.5,RETENÇÃO BAIXA,505,372.0,94.0,193.0,1821600.0,33.2
MEDICINA VETERINARIA,FACULDADE DE AGRONOMIA E MEDICINA VETERINARIA,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS AGRARIAS,MEDICO VETERINARIO,10.0,14.5,19.0,4200,528,293,187,55.49,35.42,17.41,87.71,12.29,0.34,12.17,12.0,-2.33,19.4,RETENÇÃO BAIXA,281,184.0,73.0,112.0,926400.0,53.22
RELACOES INTERNACIONAIS,INSTITUTO DE RELACOES INTERNACIONAIS,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS HUMANAS,BACHAREL,6.0,9.0,12.0,2790,868,538,270,61.98,31.11,3.16,51.86,48.14,8.55,9.43,9.0,0.43,19.0,RETENÇÃO BAIXA,98,65.0,30.0,39.0,312000.0,11.29
DESIGN - PROJETO DO PRODUTO,DEPARTAMENTO DE DESIGN,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,7.0,11.0,14.0,2940,129,92,35,71.32,27.13,2.17,40.22,59.78,18.48,11.87,12.0,0.87,19.0,RETENÇÃO BAIXA,1,1.0,0.0,0.0,4800.0,0.78
PSICOLOGIA,DIRECAO DO INSTITUTO DE PSICOLOGIA,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS HUMANAS,LICENCIADO,8.0,11.0,14.0,4230,972,648,292,66.67,30.04,5.86,53.55,46.45,14.04,11.52,11.0,0.52,18.8,RETENÇÃO BAIXA,182,127.0,42.0,70.0,620400.0,18.72
BIOTECNOLOGIA,INSTITUTO DE CIENCIAS BIOLOGICAS,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS BIOLOGICAS,BACHAREL,8.0,11.0,14.0,3210,474,245,163,51.69,34.39,19.18,85.31,14.69,4.08,9.8,9.0,-1.2,18.6,RETENÇÃO BAIXA,256,175.0,53.0,69.0,843600.0,54.01
BIBLIOTECONOMIA,FACULDADE DE CIENCIA DA INFORMACAO,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,8.0,11.0,14.0,2700,505,290,166,57.43,32.87,19.31,79.66,20.34,7.24,10.09,10.0,-0.91,17.5,RETENÇÃO BAIXA,105,63.0,35.0,47.0,306000.0,20.79
JORNALISMO,FACULDADE DE COMUNICACAO,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS HUMANAS,BACHAREL,8.0,11.0,14.0,3000,458,276,144,60.26,31.44,15.22,78.62,21.38,6.16,10.1,10.0,-0.9,16.4,RETENÇÃO BAIXA,58,41.0,16.0,34.0,196800.0,12.66
EDUCACAO DO CAMPO - CIENCIAS DA NATUREZA E MATEMATICA,UNB - FACULDADE DE PLANALTINA,FACULDADE DE PLANALTINA,MATUTINO E VESPERTINO,CIENCIAS HUMANAS,LICENCIADO,8.0,10.0,12.0,3550,61,45,16,73.77,26.23,13.33,64.44,35.56,17.78,10.47,10.0,0.47,15.6,RETENÇÃO BAIXA,0,,,,0.0,0.0
COMUNICACAO SOCIAL,FACULDADE DE COMUNICACAO,DARCY RIBEIRO,DIURNO,OUTRA,BACHAREL,8.0,11.0,14.0,2790,1094,693,322,63.35,29.43,15.01,73.02,26.98,12.12,10.63,10.0,-0.37,14.9,RETENÇÃO BAIXA,0,,,,0.0,0.0
ARQUITETURA E URBANISMO,DIRECAO DA FACULDADE DE ARQUITETURA E URBANISMO,DARCY RIBEIRO,NOTURNO,OUTRA,ARQUITETO E URBANISTA,9.0,14.0,18.0,4110,844,510,240,60.43,28.44,5.88,81.96,18.04,1.76,12.82,13.0,-1.18,14.1,RETENÇÃO BAIXA,410,282.0,116.0,157.0,1364400.0,48.58
DIREITO,FACULDADE DE DIREITO,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,10.0,13.0,16.0,3840,1817,1139,506,62.69,27.85,38.98,92.45,7.55,2.63,10.98,11.0,-2.02,13.7,RETENÇÃO BAIXA,451,228.0,204.0,188.0,1101600.0,24.82
ENGENHARIA CIVIL,DEPARTAMENTO DE ENGENHARIA CIVIL E AMBIENTAL,DARCY RIBEIRO,MATUTINO E VESPERTINO,ENGENHARIAS,ENGENHEIRO CIVIL,8.0,13.0,18.0,3930,613,397,171,64.76,27.9,5.54,88.16,11.84,0.76,11.53,12.0,-1.47,13.7,RETENÇÃO BAIXA,187,130.0,45.0,78.0,627600.0,30.51
ARQUIVOLOGIA,FACULDADE DE CIENCIA DA INFORMACAO,DARCY RIBEIRO,NOTURNO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,6.0,10.0,10.0,2400,611,428,153,70.05,25.04,2.34,83.88,16.12,36.45,9.06,9.0,-0.94,11.6,RETENÇÃO BAIXA,41,28.0,11.0,24.0,134400.0,6.71
DESIGN - PROGRAMACAO VISUAL,DEPARTAMENTO DE DESIGN,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,7.0,11.0,14.0,2940,195,155,34,79.49,17.44,2.58,46.45,53.55,14.84,11.54,12.0,0.54,9.5,RETENÇÃO BAIXA,10,6.0,1.0,6.0,39600.0,5.13
MEDICINA,FACULDADE DE MEDICINA,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS DA SAUDE,MEDICO,10.0,14.0,18.0,7920,489,404,47,82.62,9.61,1.98,84.65,15.35,0.74,12.99,13.0,-1.01,0.0,RETENÇÃO BAIXA,559,356.0,167.0,253.0,1795200.0,114.31
