curso,departamento,campus,turno,area_conhecimento,grau_academico,semestre_minimo_previsto,semestre_ideal_previsto,semestre_maximo_previsto,carga_horaria_minima,total_discentes_registrados,total_formados,total_evadidos_desligados,taxa_formatura_pct,taxa_evasao_pct,formados_tempo_minimo_pct,formados_tempo_ideal_pct,formados_acima_ideal_pct,formados_limite_maximo_pct,tempo_medio_real_semestres,tempo_mediano_real_semestres,desvio_medio_semestres,indice_retencao_critica,classificacao_retencao,pibic_total_projetos,pibic_bolsas_remuneradas,pibic_bolsas_voluntarias,pibic_cotistas,pibic_investimento_total,pibic_projetos_por_100_alunos
LETRAS - LINGUA FRANCESA E RESPECTIVA LITERATURA,INSTITUTO DE LETRAS,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,6.0,10.0,14.0,2700,614,138,374,22.48,60.91,9.42,45.65,54.35,24.64,11.12,11.0,1.12,46.0,RETENÇÃO CRÍTICA,12,4.0,6.0,3.0,22800.0,1.95
MUSICA - VIOLA,DEPARTAMENTO DE MUSICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,6.0,8.0,10.0,2070,5,3,2,60.0,40.0,0.0,0.0,100.0,100.0,11.33,12.0,3.33,45.1,RETENÇÃO CRÍTICA,0,,,,0.0,0.0
ARTES VISUAIS,DEPARTAMENTO DE ARTES VISUAIS,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,8.0,10.0,12.0,3210,837,308,494,36.8,59.02,17.53,44.81,55.19,46.75,11.15,11.0,1.15,44.8,RETENÇÃO CRÍTICA,116,85.0,24.0,39.0,411600.0,13.86
ENGENHARIA MECATRONICA - CONTROLE E AUTOMACAO,FACULDADE DE TECNOLOGIA,DARCY RIBEIRO,MATUTINO E VESPERTINO,ENGENHARIAS,ENGENHEIRO DE CONTROLE E AUTOMACAO,8.0,10.0,18.0,4110,503,195,228,38.77,45.33,4.1,14.87,85.13,3.08,12.58,12.0,2.58,44.1,RETENÇÃO CRÍTICA,34,21.0,7.0,8.0,100800.0,6.76
ENGENHARIA DE SOFTWARE,UNB - FACULDADE DO GAMA,FACULDADE DO GAMA,MATUTINO E VESPERTINO,ENGENHARIAS,BACHAREL,9.5,10.0,16.0,3600,421,191,198,45.37,47.03,5.24,18.32,81.68,9.95,12.36,12.0,2.36,43.9,RETENÇÃO CRÍTICA,119,90.0,23.0,39.0,432000.0,28.27
MUSICA - REGENCIA,DEPARTAMENTO DE MUSICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,12.0,14.0,16.0,3330,9,3,6,33.33,66.67,66.67,66.67,33.33,33.33,14.0,12.0,0.0,42.9,RETENÇÃO CRÍTICA,0,,,,0.0,0.0
MATEMATICA,DEPARTAMENTO DE MATEMATICA.,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS EXATAS E DA TERRA,LICENCIADO,6.0,10.0,14.0,2820,1201,219,797,18.23,66.36,19.18,68.95,31.05,11.42,9.38,9.0,-0.62,42.6,RETENÇÃO CRÍTICA,125,88.0,30.0,47.0,429600.0,10.41
ENGENHARIA AEROESPACIAL,UNB - FACULDADE DO GAMA,FACULDADE DO GAMA,MATUTINO E VESPERTINO,ENGENHARIAS,BACHAREL,10.0,10.0,18.0,3930,189,85,83,44.97,43.92,8.24,8.24,91.76,1.18,12.46,12.0,2.46,42.2,RETENÇÃO CRÍTICA,188,134.0,42.0,58.0,643200.0,99.47
GESTAO DE AGRONEGOCIOS,FACULDADE DE AGRONOMIA E MEDICINA VETERINARIA,DARCY RIBEIRO,NOTURNO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,8.0,12.0,16.0,3000,465,88,304,18.92,65.38,11.36,80.68,19.32,7.95,10.9,10.5,-1.1,41.9,RETENÇÃO CRÍTICA,28,22.0,6.0,4.0,116400.0,6.02
EDUCACAO DO CAMPO - CIENCIAS DA NATUREZA,UNB - FACULDADE DE PLANALTINA,FACULDADE DE PLANALTINA,MATUTINO E VESPERTINO,CIENCIAS HUMANAS,LICENCIADO,8.0,10.0,12.0,3525,51,16,33,31.37,64.71,62.5,100.0,0.0,0.0,8.62,8.0,-1.38,41.4,RETENÇÃO ALTA,12,8.0,1.0,3.0,38400.0,23.53
