curso_pibic_norm,campus,linha_pesquisa_norm,total_projetos,total_remuneradas,total_voluntarias_pivic,total_cotistas,total_cotistas_ppi,total_baixa_renda,valor_total_investido,taxa_cotistas_pct,taxa_voluntario_pct
CIENCIAS AMBIENTAIS,DARCY RIBEIRO,ARTES E HUMANIDADE,31,25,5,9,9,2,120000.0,29.0,16.1
COMUNICACAO SOCIAL - COMUNICACAO ORGANIZACIONAL,DARCY RIBEIRO,ARTES E HUMANIDADE,31,21,10,13,13,4,100800.0,41.9,32.3
PUBLICIDADE E PROPAGANDA,DARCY RIBEIRO,ARTES E HUMANIDADE,30,20,10,15,15,6,96000.0,50.0,33.3
CIENCIAS AMBIENTAIS,DARCY RIBEIRO,SAUDE E VIDA,29,22,6,8,8,2,109200.0,27.6,20.7
ENGENHARIA AUTOMOTIVA,FGA - GAMA,EXATAS E TECNOLOGICAS,29,19,6,5,5,1,91200.0,17.2,20.7
TURISMO,DARCY RIBEIRO,ARTES E HUMANIDADE,28,18,10,13,13,2,86400.0,46.4,35.7
ENGENHARIA,FGA - GAMA,EXATAS E TECNOLOGICAS,28,24,3,10,10,5,115200.0,35.7,10.7
ANTROPOLOGIA,DARCY RIBEIRO,ARTES E HUMANIDADE,28,20,8,14,14,9,96000.0,50.0,28.6
AUDIOVISUAL,DARCY RIBEIRO,ARTES E HUMANIDADE,28,21,7,17,17,7,100800.0,60.7,25.0
CIENCIAS AMBIENTAIS,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,27,20,6,4,4,0,96000.0,14.8,22.2
ENGENHARIA FLORESTAL,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,27,15,9,8,8,2,72000.0,29.6,33.3
PSICOLOGIA,DARCY RIBEIRO,SAUDE E VIDA,25,22,2,7,7,6,105600.0,28.0,8.0
FARMACIA,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,25,16,8,10,10,3,80400.0,40.0,32.0
LETRAS - TRADUCAO - INGLES,DARCY RIBEIRO,ARTES E HUMANIDADE,24,11,10,11,11,2,56400.0,45.8,41.7
LETRAS - LINGUA INGLESA E RESPECTIVA LITERATURA,DARCY RIBEIRO,ARTES E HUMANIDADE,24,13,9,9,9,2,73200.0,37.5,37.5
FARMACIA,FCE - CEILANDIA,EXATAS E TECNOLOGICAS,24,17,4,7,7,3,81600.0,29.2,16.7
CONTROLE E AUTOMACAO,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,24,21,3,8,8,4,100800.0,33.3,12.5
COMUNICACAO SOCIAL - AUDIOVISUAL,DARCY RIBEIRO,ARTES E HUMANIDADE,23,16,4,9,9,2,76800.0,39.1,17.4
GESTAO AMBIENTAL,FUP - PLANALTINA,SAUDE E VIDA,23,17,4,13,13,8,81600.0,56.5,17.4
PROGRAMACAO VISUAL,DARCY RIBEIRO,ARTES E HUMANIDADE,22,19,3,5,5,1,91200.0,22.7,13.6
BACHARELADO EM CIENCIAS CONTABEIS,DARCY RIBEIRO,ARTES E HUMANIDADE,22,16,6,9,9,5,76800.0,40.9,27.3
GESTAO DE AGRONEGOCIOS,DARCY RIBEIRO,ARTES E HUMANIDADE,22,16,6,3,3,1,84000.0,13.6,27.3
BACHARELADO EM GEOGRAFIA,DARCY RIBEIRO,ARTES E HUMANIDADE,19,16,3,8,8,3,76800.0,42.1,15.8
LETRAS - TRADUCAO - ESPANHOL,DARCY RIBEIRO,ARTES E HUMANIDADE,19,3,9,5,5,1,18000.0,26.3,47.4
LICENCIATURA EM FISICA,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,19,11,8,3,3,2,52800.0,15.8,42.1
COMPUTACAO,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,19,11,8,7,7,6,56400.0,36.8,42.1
INTERPRETACAO TEATRAL,DARCY RIBEIRO,ARTES E HUMANIDADE,19,18,1,5,5,4,86400.0,26.3,5.3
GESTAO AMBIENTAL,FUP - PLANALTINA,EXATAS E TECNOLOGICAS,18,13,5,8,8,4,62400.0,44.4,27.8
EDUCACAO FISICA,DARCY RIBEIRO,ARTES E HUMANIDADE,18,10,6,8,8,0,51600.0,44.4,33.3
GESTAO DO AGRONEGOCIO,FUP - PLANALTINA,ARTES E HUMANIDADE,18,13,5,6,6,3,62400.0,33.3,27.8
PORTUGUES DO BRASIL COMO SEGUNDA LINGUA,DARCY RIBEIRO,ARTES E HUMANIDADE,18,13,5,11,11,4,62400.0,61.1,27.8
CIENCIAS NATURAIS,FUP - PLANALTINA,SAUDE E VIDA,17,14,3,9,9,4,67200.0,52.9,17.6
COMUNICACAO SOCIAL - PUBLICIDADE E PROPAGANDA,DARCY RIBEIRO,ARTES E HUMANIDADE,17,7,9,10,10,3,33600.0,58.8,52.9
"LINGUAGENS, ARTES E LITERATURA",FUP - PLANALTINA,ARTES E HUMANIDADE,16,13,3,9,9,3,62400.0,56.2,18.8
LINGUA DE SINAIS BRASILEIRA - PORTUGUES COMO SEGUNDA LINGUA,DARCY RIBEIRO,ARTES E HUMANIDADE,16,8,8,6,6,2,38400.0,37.5,50.0
LICENCIATURA EM EDUCACAO FISICA,DARCY RIBEIRO,SAUDE E VIDA,16,11,5,9,9,2,52800.0,56.2,31.2
LETRAS-TRADUCAO ESPANHOL,DARCY RIBEIRO,ARTES E HUMANIDADE,16,3,13,7,7,1,14400.0,43.8,81.2
BACHARELADO EM ARQUIVOLOGIA,DARCY RIBEIRO,ARTES E HUMANIDADE,16,8,8,7,7,3,38400.0,43.8,50.0
LICENCIATURA EM GEOGRAFIA,DARCY RIBEIRO,ARTES E HUMANIDADE,15,11,4,7,7,2,52800.0,46.7,26.7
FRANCES,DARCY RIBEIRO,ARTES E HUMANIDADE,14,10,4,5,5,2,48000.0,35.7,28.6
ESPANHOL,DARCY RIBEIRO,ARTES E HUMANIDADE,14,1,13,8,8,3,4800.0,57.1,92.9
ADMINISTRACAO,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,13,9,3,5,5,0,46800.0,38.5,23.1
CIENCIAS SOCIAIS - ANTROPOLOGIA,DARCY RIBEIRO,ARTES E HUMANIDADE,12,8,1,3,3,1,38400.0,25.0,8.3
TERAPIA OCUPACIONAL,FCE - CEILANDIA,ARTES E HUMANIDADE,12,8,3,6,6,0,45600.0,50.0,25.0
QUIMICA,DARCY RIBEIRO,SAUDE E VIDA,12,9,3,5,5,1,43200.0,41.7,25.0
CIENCIAS SOCIAIS - SOCIOLOGIA,DARCY RIBEIRO,ARTES E HUMANIDADE,12,9,2,5,5,0,50400.0,41.7,16.7
